step	loss
10	0.028147
20	0.006751
30	0.002428
40	0.009113
50	0.011937
60	0.084069
70	0.011047
80	0.028364
90	0.074892
100	0.005603
110	0.064720
120	0.021367
130	0.076963
140	0.028063
150	0.025000
160	0.023717
170	0.012571
180	0.018779
190	0.020889
200	0.041622
210	0.010038
220	0.010291
230	0.012960
240	0.018945
250	0.079263
260	0.008241
270	0.050297
280	0.021444
290	0.008822
300	0.003075
310	0.034105
320	0.002537
330	0.003098
340	0.091574
350	0.007399
360	0.005395
370	0.022871
380	0.009859
390	0.002573
400	0.053454
410	0.067051
420	0.005538
430	0.033355
440	0.000425
450	0.010141
460	0.004674
470	0.045339
480	0.041835
490	0.016843
500	0.002561
510	0.015961
520	0.008975
530	0.022224
540	0.007747
550	0.024220
560	0.006729
570	0.012586
580	0.030292
590	0.005916
600	0.003067
610	0.045289
620	0.019763
630	0.007472
640	0.005953
650	0.001632
660	0.069710
670	0.010460
680	0.006382
690	0.017201
700	0.032523
710	0.013535
720	0.004365
730	0.009300
740	0.017392
750	0.033393
760	0.017126
770	0.023030
780	0.015068
790	0.045697
800	0.039273
810	0.003595
820	0.024885
830	0.004325
840	0.046975
850	0.027759
860	0.020968
870	0.013020
880	0.001047
890	0.009012
900	0.011525
910	0.001934
920	0.069210
930	0.021431
940	0.023922
950	0.031536
960	0.006413
970	0.054983
980	0.019168
990	0.013310
1000	0.033464
1010	0.058449
1020	0.019317
1030	0.007384
1040	0.015205
1050	0.001012
1060	0.010100
1070	0.051384
1080	0.000832
1090	0.050608
1100	0.006721
1110	0.001477
1120	0.017029
1130	0.013799
1140	0.003102
1150	0.001385
1160	0.005301
1170	0.004569
1180	0.002743
1190	0.010713
1200	0.022060
1210	0.018714
1220	0.083005
1230	0.013805
1240	0.028635
1250	0.031094
1260	0.120093
1270	0.064655
1280	0.009608
1290	0.024359
1300	0.012155
1310	0.014583
1320	0.092806
1330	0.011761
1340	0.002293
1350	0.032805
1360	0.004015
1370	0.068778
1380	0.014628
1390	0.006113
1400	0.012744
1410	0.010875
1420	0.003633
1430	0.032739
1440	0.003881
1450	0.002164
1460	0.013663
1470	0.000569
1480	0.010710
1490	0.001118
1500	0.002515
1510	0.015568
1520	0.014001
1530	0.027968
1540	0.009790
1550	0.016414
1560	0.028939
1570	0.026366
1580	0.002870
1590	0.052915
1600	0.051293
1610	0.009671
1620	0.006680
1630	0.012662
1640	0.001700
1650	0.025604
1660	0.025509
1670	0.068084
1680	0.006492
1690	0.003321
1700	0.009720
1710	0.015930
1720	0.002014
1730	0.125597
1740	0.005149
1750	0.005775
1760	0.002491
1770	0.003109
1780	0.007747
1790	0.017063
1800	0.049823
1810	0.023103
1820	0.025770
1830	0.002023
1840	0.001200
1850	0.011673
1860	0.068465
1870	0.013894
1880	0.053617
1890	0.019129
1900	0.000395
1910	0.012938
