step	loss
10	0.051353
20	0.027912
30	0.181061
40	0.081973
50	0.027883
60	0.002179
70	0.098619
80	0.040525
90	0.014073
100	0.056217
110	0.018858
120	0.020392
130	0.080347
140	0.046411
150	0.016776
160	0.020978
170	0.036643
180	0.030371
190	0.005134
200	0.007929
210	0.024409
220	0.080813
230	0.008847
240	0.033106
250	0.040850
260	0.105131
270	0.128809
280	0.007418
290	0.052663
300	0.000000
310	0.048597
320	0.005708
330	0.064368
340	0.097461
350	0.004863
360	0.010640
370	0.035784
380	0.026968
390	0.170921
400	0.046293
410	0.065188
420	0.052275
430	0.012229
440	0.008513
450	0.005470
460	0.162760
470	0.039766
480	0.070656
490	0.059697
500	0.050615
510	0.064772
520	0.213171
530	0.001603
540	0.096317
550	0.152596
560	0.002084
570	0.111747
580	0.149191
590	0.011280
600	0.077274
610	0.102797
620	0.168337
630	0.049169
640	0.068824
650	0.173436
660	0.123391
670	0.033204
680	0.188748
690	0.012045
700	0.022265
710	0.325023
720	0.118037
730	0.123959
740	0.036394
750	0.118854
760	0.034321
770	0.000480
780	0.115842
790	0.045002
800	0.039962
810	0.027996
820	0.009901
830	0.035592
840	0.089476
850	0.011793
860	0.070455
870	0.130690
880	0.018415
890	0.003599
900	0.032292
910	0.005010
920	0.085192
930	0.008711
940	0.009154
950	0.119144
960	0.016542
970	0.014609
980	0.018229
990	0.035589
1000	0.060451
1010	0.004005
1020	0.068930
1030	0.009581
1040	0.158133
1050	0.051348
1060	0.085974
1070	0.143579
1080	0.065022
1090	0.095711
1100	0.057883
1110	0.020235
1120	0.148111
1130	0.009419
1140	0.112282
1150	0.124608
1160	0.109925
1170	0.246571
1180	0.002451
1190	0.142299
1200	0.064871
1210	0.085959
1220	0.004616
1230	0.081533
1240	0.026679
1250	0.006366
1260	0.220666
1270	0.155499
1280	0.025222
1290	0.117756
1300	0.025332
1310	0.015808
1320	0.123745
1330	0.004067
1340	0.007754
1350	0.008154
1360	0.000000
1370	0.001530
1380	0.027474
1390	0.057824
1400	0.042070
1410	0.178176
1420	0.065313
1430	0.123210
1440	0.157266
1450	0.044962
1460	0.119018
1470	0.068745
1480	0.034012
1490	0.039631
1500	0.026334
1510	0.104520
1520	0.031113
1530	0.124329
1540	0.112708
1550	0.019496
1560	0.073067
1570	0.132359
1580	0.033434
1590	0.075426
1600	0.019342
1610	0.099405
1620	0.076921
1630	0.083232
1640	0.001838
1650	0.011650
1660	0.085373
1670	0.077870
1680	0.012857
1690	0.022133
1700	0.107905
1710	0.029853
1720	0.089011
1730	0.091172
1740	0.004149
1750	0.006555
1760	0.007378
1770	0.025675
1780	0.004373
1790	0.009230
1800	0.200097
1810	0.122961
1820	0.148822
1830	0.103248
1840	0.022236
1850	0.239938
1860	0.010033
1870	0.143853
1880	0.198409
1890	0.008708
1900	0.197257
1910	0.057411
1920	0.203312
1930	0.008832
1940	0.051916
1950	0.166090
1960	0.021669
1970	0.038811
1980	0.012634
1990	0.148702
2000	0.152850
2010	0.006977
2020	0.069786
2030	0.099303
2040	0.053515
2050	0.004324
2060	0.051068
2070	0.000848
2080	0.113318
2090	0.076598
2100	0.046727
2110	0.023298
2120	0.064681
2130	0.166203
2140	0.135234
2150	0.059436
2160	0.003539
2170	0.232917
2180	0.066267
2190	0.000949
2200	0.131013
2210	0.190320
2220	0.029380
2230	0.201391
2240	0.044657
2250	0.174618
2260	0.030216
2270	0.018785
2280	0.042084
2290	0.038287
2300	0.011487
2310	0.011713
2320	0.060571
2330	0.089590
2340	0.015806
2350	0.099761
2360	0.124593
2370	0.010261
2380	0.012567
2390	0.102575
2400	0.204258
2410	0.126133
2420	0.279652
2430	0.062011
2440	0.003215
2450	0.067064
2460	0.100027
2470	0.038435
2480	0.006389
2490	0.011236
2500	0.018128
2510	0.016325
2520	0.071411
2530	0.018989
2540	0.174516
2550	0.099388
2560	0.068854
2570	0.025889
2580	0.026635
2590	0.051675
2600	0.015642
2610	0.038387
2620	0.030577
2630	0.106878
2640	0.098873
2650	0.009850
2660	0.036467
2670	0.026143
2680	0.101901
2690	0.026303
2700	0.033854
2710	0.212031
2720	0.051593
2730	0.002066
2740	0.073011
