step	loss
10	0.072244
20	0.232888
30	0.017125
40	0.159083
50	0.114552
60	0.195062
70	0.268705
80	0.102208
90	0.000000
100	0.093049
110	0.331827
120	0.164573
130	0.026886
140	0.010471
150	0.111676
160	0.065027
170	0.167765
180	0.025155
190	0.165374
200	0.156834
210	0.200597
220	0.007060
230	0.201599
240	0.085525
250	0.092976
260	0.058577
270	0.083654
280	0.031452
290	0.113949
300	0.176475
310	0.059560
320	0.203335
330	0.099636
340	0.044977
350	0.005454
360	0.012348
370	0.037518
380	0.137821
390	0.168297
400	0.305472
410	0.180423
420	0.182893
430	0.036197
440	0.071889
450	0.158897
460	0.129221
470	0.032515
480	0.073548
490	0.142511
500	0.125948
510	0.045600
520	0.138922
530	0.012926
540	0.091970
550	0.167164
560	0.076772
570	0.030968
580	0.125202
590	0.041375
600	0.153302
610	0.076355
620	0.289603
630	0.230052
640	0.205338
650	0.077439
660	0.066110
670	0.209438
680	0.054574
690	0.183579
700	0.112411
710	0.146443
720	0.028120
730	0.164611
740	0.127214
750	0.015097
760	0.037449
770	0.028292
780	0.123349
790	0.104739
800	0.220323
810	0.210658
820	0.056179
830	0.099121
840	0.279265
850	0.176339
860	0.033674
870	0.276966
880	0.060591
890	0.012940
900	0.024129
910	0.092138
920	0.037379
930	0.182060
940	0.071590
950	0.107436
960	0.098601
970	0.067867
980	0.135218
990	0.000043
1000	0.113023
1010	0.140761
1020	0.025325
1030	0.217357
1040	0.000857
1050	0.088952
1060	0.059011
1070	0.103864
1080	0.101340
1090	0.178356
1100	0.093536
1110	0.204999
1120	0.077833
1130	0.035902
1140	0.152117
1150	0.211492
1160	0.258663
1170	0.047204
1180	0.147563
1190	0.080833
1200	0.140396
1210	0.110521
1220	0.157090
1230	0.027434
1240	0.134954
1250	0.031483
1260	0.341163
1270	0.034864
1280	0.167535
1290	0.159444
1300	0.116011
1310	0.192759
1320	0.049623
1330	0.034326
1340	0.274208
1350	0.219040
1360	0.183391
1370	0.210954
1380	0.032389
1390	0.248730
1400	0.145217
1410	0.156514
1420	0.112526
1430	0.159160
1440	0.099723
1450	0.016998
1460	0.148731
1470	0.109006
1480	0.099952
1490	0.041143
1500	0.007909
1510	0.057831
1520	0.137571
1530	0.167412
1540	0.156244
1550	0.143460
1560	0.044377
1570	0.081930
1580	0.118843
1590	0.231131
1600	0.128473
1610	0.145908
1620	0.224860
1630	0.068566
1640	0.025566
1650	0.057988
1660	0.140053
1670	0.008198
1680	0.044237
1690	0.097638
1700	0.070260
1710	0.032744
1720	0.042870
1730	0.021223
1740	0.012598
1750	0.021752
1760	0.072306
1770	0.140542
1780	0.157578
1790	0.163644
1800	0.150306
1810	0.006613
1820	0.086492
1830	0.105611
1840	0.000133
1850	0.102101
1860	0.034544
1870	0.206662
1880	0.084591
1890	0.038399
1900	0.004434
1910	0.090906
1920	0.100891
1930	0.088301
1940	0.057429
1950	0.245016
1960	0.068895
1970	0.248168
1980	0.011316
1990	0.161081
2000	0.088295
2010	0.227957
2020	0.175047
2030	0.077029
2040	0.173659
2050	0.247532
2060	0.202592
2070	0.009576
2080	0.157412
2090	0.135292
2100	0.070750
2110	0.136951
2120	0.081003
2130	0.108479
2140	0.172770
2150	0.029019
2160	0.066088
2170	0.122884
2180	0.120323
2190	0.138557
2200	0.121997
2210	0.045675
2220	0.084372
2230	0.100408
2240	0.081757
2250	0.141627
2260	0.139254
2270	0.083428
2280	0.066199
2290	0.184027
2300	0.096745
2310	0.031259
2320	0.000059
2330	0.124758
2340	0.082765
2350	0.143637
2360	0.132170
2370	0.051932
2380	0.011015
2390	0.059317
2400	0.065086
2410	0.129403
2420	0.057710
2430	0.074373
2440	0.014652
2450	0.114817
2460	0.114208
2470	0.029140
2480	0.104368
2490	0.072439
2500	0.129948
2510	0.073710
2520	0.048583
2530	0.038078
2540	0.031515
2550	0.186536
2560	0.039078
2570	0.147973
2580	0.126434
2590	0.198595
2600	0.187878
2610	0.230314
2620	0.012512
2630	0.024779
2640	0.077631
2650	0.020280
2660	0.013168
2670	0.243853
2680	0.153471
2690	0.211875
2700	0.083151
2710	0.156451
2720	0.000733
2730	0.049295
2740	0.077651
2750	0.030376
2760	0.022159
2770	0.297954
2780	0.043038
2790	0.071447
2800	0.064882
2810	0.236659
2820	0.146444
2830	0.112368
2840	0.076936
2850	0.245275
2860	0.159257
2870	0.161126
2880	0.063978
2890	0.139622
2900	0.075800
2910	0.202285
2920	0.167720
2930	0.129323
2940	0.000439
2950	0.184537
2960	0.139652
2970	0.010869
2980	0.266156
2990	0.200669
3000	0.152445
3010	0.160672
3020	0.079963
3030	0.094879
3040	0.072911
3050	0.196636
3060	0.073020
3070	0.250124
3080	0.061058
3090	0.073530
3100	0.034179
3110	0.089592
3120	0.210497
3130	0.056277
3140	0.175848
3150	0.119479
3160	0.088715
3170	0.016326
3180	0.200104
3190	0.021765
3200	0.216252
3210	0.025652
3220	0.125800
3230	0.048335
3240	0.097436
3250	0.020883
3260	0.243313
3270	0.019322
3280	0.224629
3290	0.071959
3300	0.092299
3310	0.262268
3320	0.127874
3330	0.102307
3340	0.160487
3350	0.048882
3360	0.068629
3370	0.072954
3380	0.087701
3390	0.142317
3400	0.175851
3410	0.167775
3420	0.158968
3430	0.049018
3440	0.139339
3450	0.008685
3460	0.057778
3470	0.137862
3480	0.217567
3490	0.098140
3500	0.189403
3510	0.000286
3520	0.049533
3530	0.187610
3540	0.145765
3550	0.213894
3560	0.036417
3570	0.084616
3580	0.057554
3590	0.108612
3600	0.082888
3610	0.024333
3620	0.139419
3630	0.149755
3640	0.042324
3650	0.119458
3660	0.001894
3670	0.007495
3680	0.238779
3690	0.122201
3700	0.267432
3710	0.198859
3720	0.041573
3730	0.129378
3740	0.047306
3750	0.170575
3760	0.032614
3770	0.225636
3780	0.032112
3790	0.258294
3800	0.107229
3810	0.213617
3820	0.121970
3830	0.005087
3840	0.004627
3850	0.232291
3860	0.028165
3870	0.062133
3880	0.026693
3890	0.174492
3900	0.137558
3910	0.080866
3920	0.063041
3930	0.159060
3940	0.106350
3950	0.129275
3960	0.174457
3970	0.106323
3980	0.243569
3990	0.088523
4000	0.091206
4010	0.230099
4020	0.046773
4030	0.088971
4040	0.206816
4050	0.146181
4060	0.022080
4070	0.095556
4080	0.192878
4090	0.004368
4100	0.177681
4110	0.143097
4120	0.014407
4130	0.140426
4140	0.074529
4150	0.083130
4160	0.077356
4170	0.013793
4180	0.151726
4190	0.108404
4200	0.262757
4210	0.001146
4220	0.248020
4230	0.011780
4240	0.222237
4250	0.192093
4260	0.117482
4270	0.047817
4280	0.094670
4290	0.052010
4300	0.015234
4310	0.010558
4320	0.082352
4330	0.115207
4340	0.125782
4350	0.016687
4360	0.029961
4370	0.011817
4380	0.024916
4390	0.115972
4400	0.084001
4410	0.250992
4420	0.076073
4430	0.148264
4440	0.223235
4450	0.001148
4460	0.192117
4470	0.090258
4480	0.093770
4490	0.160345
4500	0.028752
4510	0.082094
4520	0.049937
4530	0.161496
4540	0.139781
4550	0.194240
4560	0.017546
4570	0.112781
4580	0.075647
4590	0.146157
4600	0.067603
4610	0.064577
4620	0.022376
4630	0.115547
4640	0.228299
4650	0.043602
4660	0.094259
4670	0.236167
4680	0.133097
4690	0.129743
4700	0.038683
4710	0.019555
4720	0.032470
4730	0.143997
4740	0.157715
4750	0.000000
4760	0.257374
4770	0.194529
4780	0.162629
4790	0.025980
4800	0.002501
4810	0.097420
4820	0.145412
4830	0.015717
4840	0.065168
4850	0.115206
4860	0.108142
4870	0.277152
4880	0.156367
4890	0.019342
4900	0.007110
4910	0.144650
4920	0.173099
4930	0.006948
4940	0.000302
4950	0.103059
4960	0.113560
4970	0.132045
4980	0.157184
4990	0.119217
5000	0.015284
5010	0.029476
5020	0.238795
5030	0.012841
5040	0.001774
5050	0.018545
5060	0.051659
5070	0.269640
5080	0.181513
5090	0.072499
5100	0.061696
5110	0.179978
5120	0.182349
5130	0.161870
5140	0.127857
5150	0.057717
5160	0.147851
5170	0.194309
5180	0.239474
5190	0.000250
5200	0.075797
5210	0.092744
5220	0.043763
5230	0.021114
5240	0.267499
5250	0.153063
5260	0.051764
5270	0.078215
5280	0.134887
5290	0.266840
5300	0.252131
5310	0.075693
5320	0.116930
5330	0.140272
5340	0.149421
5350	0.047457
5360	0.194675
5370	0.133858
5380	0.054055
5390	0.212759
5400	0.147821
5410	0.056089
5420	0.088151
5430	0.011947
5440	0.012438
5450	0.233235
5460	0.079157
5470	0.109082
5480	0.055236
5490	0.017976
5500	0.129873
5510	0.081916
5520	0.094961
5530	0.040405
5540	0.130028
5550	0.054460
5560	0.085037
5570	0.243217
5580	0.207376
5590	0.158657
5600	0.109360
5610	0.014372
5620	0.025964
5630	0.208140
5640	0.174864
5650	0.130316
5660	0.245754
5670	0.016541
5680	0.265634
5690	0.029435
5700	0.034538
5710	0.017479
5720	0.168520
5730	0.128724
5740	0.072686
5750	0.095943
5760	0.075316
5770	0.100562
5780	0.136081
5790	0.264256
5800	0.147088
5810	0.004831
5820	0.110484
5830	0.262686
5840	0.062782
5850	0.090346
5860	0.067711
5870	0.112873
5880	0.109368
5890	0.059986
5900	0.020396
5910	0.028280
5920	0.076195
5930	0.099475
5940	0.000280
5950	0.155272
5960	0.152393
5970	0.321231
5980	0.040233
5990	0.000768
6000	0.234227
6010	0.107656
6020	0.016464
6030	0.097205
6040	0.068891
6050	0.109985
6060	0.081378
6070	0.001704
6080	0.173129
6090	0.122177
6100	0.034695
6110	0.067760
6120	0.106724
6130	0.054547
6140	0.008727
6150	0.060853
6160	0.060199
6170	0.116827
6180	0.069658
6190	0.036439
6200	0.000189
6210	0.152756
6220	0.148120
6230	0.004903
6240	0.109245
6250	0.111873
6260	0.151856
6270	0.149931
6280	0.018826
6290	0.081695
6300	0.055832
6310	0.108265
6320	0.012733
6330	0.085240
6340	0.095760
6350	0.082637
6360	0.038718
6370	0.216544
6380	0.242464
6390	0.202340
6400	0.049108
6410	0.027313
6420	0.095750
6430	0.243112
6440	0.001699
6450	0.166576
6460	0.106611
6470	0.028598
6480	0.100436
6490	0.003158
6500	0.113204
6510	0.037652
6520	0.097939
6530	0.102770
6540	0.141166
6550	0.120987
6560	0.001528
6570	0.147591
6580	0.014100
6590	0.106171
6600	0.107952
6610	0.167883
6620	0.164287
6630	0.018040
6640	0.057368
6650	0.078374
6660	0.077118
6670	0.132527
6680	0.119106
6690	0.097560
6700	0.100879
6710	0.000016
6720	0.067852
6730	0.016952
6740	0.200414
6750	0.206802
6760	0.012089
6770	0.078471
6780	0.172197
6790	0.301667
6800	0.017777
6810	0.094287
6820	0.019528
6830	0.042922
6840	0.078029
6850	0.027039
6860	0.042114
6870	0.078212
6880	0.042311
6890	0.080025
6900	0.172851
6910	0.133155
6920	0.028235
6930	0.084590
6940	0.084838
6950	0.203289
6960	0.046862
6970	0.214018
6980	0.074741
6990	0.015231
7000	0.003608
7010	0.187029
7020	0.126202
7030	0.219395
7040	0.001012
7050	0.221585
7060	0.106536
7070	0.106146
7080	0.128855
7090	0.025396
7100	0.186265
7110	0.012471
7120	0.002607
7130	0.095708
7140	0.202448
7150	0.098545
7160	0.025171
7170	0.273428
7180	0.112995
7190	0.047210
7200	0.054580
7210	0.079659
7220	0.146339
7230	0.058914
7240	0.018223
7250	0.203409
7260	0.107998
7270	0.098485
7280	0.065634
7290	0.123458
7300	0.210910
7310	0.021821
7320	0.233254
7330	0.255987
7340	0.001012
7350	0.086035
7360	0.152897
7370	0.035083
7380	0.262350
7390	0.081767
7400	0.028283
7410	0.025293
7420	0.008142
7430	0.074794
7440	0.159938
7450	0.047719
7460	0.178346
7470	0.332660
7480	0.013422
7490	0.088537
7500	0.011496
7510	0.144128
7520	0.047923
7530	0.133366
7540	0.172032
7550	0.161227
7560	0.118840
7570	0.202267
7580	0.158698
7590	0.086877
7600	0.107737
7610	0.161205
7620	0.111013
7630	0.001766
7640	0.012123
7650	0.108079
7660	0.169090
