experiment,step,loss,loss_ma25
GT LoRA,10,0.02814700,0.02814700
GT LoRA,20,0.00675100,0.01744900
GT LoRA,30,0.00242800,0.01244200
GT LoRA,40,0.00911300,0.01160975
GT LoRA,50,0.01193700,0.01167520
GT LoRA,60,0.08406900,0.02374083
GT LoRA,70,0.01104700,0.02192743
GT LoRA,80,0.02836400,0.02273200
GT LoRA,90,0.07489200,0.02852756
GT LoRA,100,0.00560300,0.02623510
GT LoRA,110,0.06472000,0.02973373
GT LoRA,120,0.02136700,0.02903650
GT LoRA,130,0.07696300,0.03272315
GT LoRA,140,0.02806300,0.03239029
GT LoRA,150,0.02500000,0.03189760
GT LoRA,160,0.02371700,0.03138631
GT LoRA,170,0.01257100,0.03027953
GT LoRA,180,0.01877900,0.02964061
GT LoRA,190,0.02088900,0.02918000
GT LoRA,200,0.04162200,0.02980210
GT LoRA,210,0.01003800,0.02886095
GT LoRA,220,0.01029100,0.02801686
GT LoRA,230,0.01296000,0.02736222
GT LoRA,240,0.01894500,0.02701150
GT LoRA,250,0.07926300,0.02910156
GT LoRA,260,0.00824100,0.02830532
GT LoRA,270,0.05029700,0.03004716
GT LoRA,280,0.02144400,0.03080780
GT LoRA,290,0.00882200,0.03079616
GT LoRA,300,0.00307500,0.03044168
GT LoRA,310,0.03410500,0.02844312
GT LoRA,320,0.00253700,0.02810272
GT LoRA,330,0.00309800,0.02709208
GT LoRA,340,0.09157400,0.02775936
GT LoRA,350,0.00739900,0.02783120
GT LoRA,360,0.00539500,0.02545820
GT LoRA,370,0.02287100,0.02551836
GT LoRA,380,0.00985900,0.02283420
GT LoRA,390,0.00257300,0.02181460
GT LoRA,400,0.05345400,0.02295276
GT LoRA,410,0.06705100,0.02468612
GT LoRA,420,0.00553800,0.02440480
GT LoRA,430,0.03335500,0.02498784
GT LoRA,440,0.00042500,0.02416928
GT LoRA,450,0.01014100,0.02291004
GT LoRA,460,0.00467400,0.02269548
GT LoRA,470,0.04533900,0.02409740
